text,label
"funcionalmente está bien, sin más",neutro
"está ok, nada extraordinario",neutro
"fatal experiencia, nunca más",negativo
"atención al cliente excepcional, resolvieron todo",positivo
todo dentro de lo normal,neutro
"está ok, nada extraordinario",neutro
producto defectuoso desde el primer día,negativo
"el peor servicio que he visto, evítenlo",negativo
increíble relación calidad-precio,positivo
"vendedor irresponsable, no responde mensajes",negativo
"promedio, nada destacable",neutro
"rendimiento extraordinario, muy satisfecho",positivo
"regular, esperaba algo distinto",neutro
increíble relación calidad-precio,positivo
"horrible calidad, perdí mi dinero",negativo
"es lo que se esperaba, ni más ni menos",neutro
ni encantado ni decepcionado,neutro
"esta bien, dentro de lo esperado",neutro
"se rompió en una semana, basura",negativo
"muy mala atención, prepotentes y poco profesionales",negativo
"diseño elegante y funcional, me encanta",positivo
"muy malo, exijo reembolso",negativo
ni encantado ni decepcionado,neutro
"uso normal, sin problemas hasta ahora",neutro
tardó muchísimo en llegar y vino dañado,negativo
"calidad superior, vale completamente lo que cuesta",positivo
"es lo que se esperaba, ni más ni menos",neutro
"funcional, sin más comentarios",neutro
"una decepción total, desperdicio de dinero",negativo
"regular, esperaba algo distinto",neutro
"rendimiento extraordinario, muy satisfecho",positivo
tardó muchísimo en llegar y vino dañado,negativo
la mejor compra que he hecho este año,positivo
envío rapidísimo y empaque cuidadoso,positivo
"funcional, sin más comentarios",neutro
"terrible experiencia, no compren aquí",negativo
"todo perfecto, lo recomiendo cien por ciento",positivo
"rápido, eficiente y como lo describían",positivo
"funciona perfecto, mejor de lo que esperaba",positivo
la mejor compra que he hecho este año,positivo
la mejor compra que he hecho este año,positivo
"producto tal cual la descripción, perfecto",positivo
"está ok, nada extraordinario",neutro
"excelente producto, muy recomendado",positivo
"rendimiento extraordinario, muy satisfecho",positivo
"lo amo, lo compraré de nuevo sin dudarlo",positivo
"razonable, podría ser mejor o peor",neutro
ni encantado ni decepcionado,neutro
"estafa total, jamás llegó el producto",negativo
"esta bien, dentro de lo esperado",neutro
"pésimo producto, no lo recomiendo a nadie",negativo
tardó muchísimo en llegar y vino dañado,negativo
lo justo y necesario,neutro
"vendedor muy profesional, todo correcto",positivo
"promedio, nada destacable",neutro
"regular, esperaba algo distinto",neutro
"rendimiento extraordinario, muy satisfecho",positivo
"fantástico, superó todas mis expectativas",positivo
"fatal experiencia, nunca más",negativo
increíble relación calidad-precio,positivo
"producto estándar, sin sorpresas",neutro
"compra exitosa, todo según lo prometido",positivo
"funciona perfecto, mejor de lo que esperaba",positivo
"muy mala atención, prepotentes y poco profesionales",negativo
"muy malo, exijo reembolso",negativo
"rápido, eficiente y como lo describían",positivo
"calidad superior, vale completamente lo que cuesta",positivo
discreto pero útil,neutro
"producto tal cual la descripción, perfecto",positivo
"no funciona como dice la descripción, falsa publicidad",negativo
"se rompió en una semana, basura",negativo
"no funciona como dice la descripción, falsa publicidad",negativo
"uso normal, sin problemas hasta ahora",neutro
"muy malo, exijo reembolso",negativo
"el peor servicio que he visto, evítenlo",negativo
"regular, ni bueno ni malo",neutro
"calidad superior, vale completamente lo que cuesta",positivo
envío rapidísimo y empaque cuidadoso,positivo
"funciona perfecto, mejor de lo que esperaba",positivo
"cumple, pero esperaba un poco más",neutro
"la peor compra que he hecho, devuelvan mi plata",negativo
"no recomiendo para nada, pésima calidad",negativo
"compra exitosa, todo según lo prometido",positivo
tardó muchísimo en llegar y vino dañado,negativo
"compra exitosa, todo según lo prometido",positivo
"no recomiendo para nada, pésima calidad",negativo
"llegó incompleto, faltaban piezas",negativo
"fantástico, superó todas mis expectativas",positivo
"vendedor muy profesional, todo correcto",positivo
"rápido, eficiente y como lo describían",positivo
"no recomiendo para nada, pésima calidad",negativo
llegó roto y el vendedor no responde,negativo
"encantada con la compra, muy buen producto",positivo
"cumple su función, podría mejorar el empaque",neutro
"rendimiento extraordinario, muy satisfecho",positivo
"producto tal cual la descripción, perfecto",positivo
"terrible experiencia, no compren aquí",negativo
"decepcionante en todo sentido, no compren",negativo
"razonable, podría ser mejor o peor",neutro
"todo perfecto, lo recomiendo cien por ciento",positivo
"cumple, pero esperaba un poco más",neutro
"atención al cliente excepcional, resolvieron todo",positivo
"muy contento con el resultado, gracias",positivo
"la peor compra que he hecho, devuelvan mi plata",negativo
"normal, hace lo que tiene que hacer",neutro
"normal, hace lo que tiene que hacer",neutro
"pésimo producto, no lo recomiendo a nadie",negativo
"diseño elegante y funcional, me encanta",positivo
llegó roto y el vendedor no responde,negativo
"producto tal cual la descripción, perfecto",positivo
"fatal experiencia, nunca más",negativo
"regular, ni bueno ni malo",neutro
"funciona perfecto, mejor de lo que esperaba",positivo
"cumple, pero esperaba un poco más",neutro
"normal, hace lo que tiene que hacer",neutro
producto defectuoso desde el primer día,negativo
"no funciona como dice la descripción, falsa publicidad",negativo
"producto estándar, sin sorpresas",neutro
"una decepción total, desperdicio de dinero",negativo
"está ok, nada extraordinario",neutro
"vendedor muy profesional, todo correcto",positivo
"fatal experiencia, nunca más",negativo
tardó muchísimo en llegar y vino dañado,negativo
"decepcionante en todo sentido, no compren",negativo
"terrible experiencia, no compren aquí",negativo
todo dentro de lo normal,neutro
"diseño elegante y funcional, me encanta",positivo
"muy mala atención, prepotentes y poco profesionales",negativo
"vendedor irresponsable, no responde mensajes",negativo
"funcionalmente está bien, sin más",neutro
"una decepción total, desperdicio de dinero",negativo
"fatal experiencia, nunca más",negativo
"se rompió en una semana, basura",negativo
"una decepción total, desperdicio de dinero",negativo
"promedio, nada destacable",neutro
"esta bien, dentro de lo esperado",neutro
"vendedor irresponsable, no responde mensajes",negativo
producto defectuoso desde el primer día,negativo
"llegó incompleto, faltaban piezas",negativo
"calidad superior, vale completamente lo que cuesta",positivo
"vendedor irresponsable, no responde mensajes",negativo
"la peor compra que he hecho, devuelvan mi plata",negativo
"una decepción total, desperdicio de dinero",negativo
"pésimo producto, no lo recomiendo a nadie",negativo
"uso normal, sin problemas hasta ahora",neutro
"producto correcto, cumple lo básico",neutro
"decepcionante en todo sentido, no compren",negativo
"calidad premium, recomendado totalmente",positivo
"atención al cliente excepcional, resolvieron todo",positivo
"lo amo, lo compraré de nuevo sin dudarlo",positivo
ni encantado ni decepcionado,neutro
"decepcionante en todo sentido, no compren",negativo
"funcionalmente está bien, sin más",neutro
"llegó incompleto, faltaban piezas",negativo
"producto correcto, cumple lo básico",neutro
"está ok, nada extraordinario",neutro
"regular, ni bueno ni malo",neutro
increíble relación calidad-precio,positivo
"llegó incompleto, faltaban piezas",negativo
increíble relación calidad-precio,positivo
todo dentro de lo normal,neutro
"terrible experiencia, no compren aquí",negativo
"fantástico, superó todas mis expectativas",positivo
"vendedor muy profesional, todo correcto",positivo
"encantada con la compra, muy buen producto",positivo
"horrible calidad, perdí mi dinero",negativo
"cumple su función, podría mejorar el empaque",neutro
"razonable, podría ser mejor o peor",neutro
"calidad penosa, no vale ni un peso",negativo
"muy contento con el resultado, gracias",positivo
"vendedor muy profesional, todo correcto",positivo
"cumple, pero esperaba un poco más",neutro
aceptable por el precio que pagué,neutro
el servicio fue impecable y la atención muy amable,positivo
"atención al cliente excepcional, resolvieron todo",positivo
"cumple su función, podría mejorar el empaque",neutro
producto defectuoso desde el primer día,negativo
"funciona perfecto, mejor de lo que esperaba",positivo
todo dentro de lo normal,neutro
llegó roto y el vendedor no responde,negativo
"producto correcto, cumple lo básico",neutro
"excelente producto, muy recomendado",positivo
"cumple, pero esperaba un poco más",neutro
"producto estándar, sin sorpresas",neutro
"pésimo producto, no lo recomiendo a nadie",negativo
lo justo y necesario,neutro
"funcional, sin más comentarios",neutro
"estafa total, jamás llegó el producto",negativo
"diseño elegante y funcional, me encanta",positivo
"producto tal cual la descripción, perfecto",positivo
el servicio fue impecable y la atención muy amable,positivo
"calidad penosa, no vale ni un peso",negativo
discreto pero útil,neutro
"regular, ni bueno ni malo",neutro
"regular, ni bueno ni malo",neutro
"muy contento con el resultado, gracias",positivo
discreto pero útil,neutro
aceptable por el precio que pagué,neutro
"todo perfecto, lo recomiendo cien por ciento",positivo
lo justo y necesario,neutro
envío rapidísimo y empaque cuidadoso,positivo
"horrible calidad, perdí mi dinero",negativo
"fantástico, superó todas mis expectativas",positivo
"cumple su función, podría mejorar el empaque",neutro
"horrible calidad, perdí mi dinero",negativo
ni encantado ni decepcionado,neutro
"normal, hace lo que tiene que hacer",neutro
"llegó incompleto, faltaban piezas",negativo
"calidad superior, vale completamente lo que cuesta",positivo
"vendedor irresponsable, no responde mensajes",negativo
"se rompió en una semana, basura",negativo
"uso normal, sin problemas hasta ahora",neutro
"encantada con la compra, muy buen producto",positivo
"rápido, eficiente y como lo describían",positivo
"cumple su función, podría mejorar el empaque",neutro
envío rapidísimo y empaque cuidadoso,positivo
envío rapidísimo y empaque cuidadoso,positivo
lo justo y necesario,neutro
producto defectuoso desde el primer día,negativo
"excelente producto, muy recomendado",positivo
"la peor compra que he hecho, devuelvan mi plata",negativo
"funcional, sin más comentarios",neutro
discreto pero útil,neutro
"muy malo, exijo reembolso",negativo
"lo amo, lo compraré de nuevo sin dudarlo",positivo
"es lo que se esperaba, ni más ni menos",neutro
"calidad penosa, no vale ni un peso",negativo
el servicio fue impecable y la atención muy amable,positivo
aceptable por el precio que pagué,neutro
"producto estándar, sin sorpresas",neutro
"compra exitosa, todo según lo prometido",positivo
"producto correcto, cumple lo básico",neutro
"esta bien, dentro de lo esperado",neutro
"regular, esperaba algo distinto",neutro
"terrible experiencia, no compren aquí",negativo
"calidad premium, recomendado totalmente",positivo
"todo perfecto, lo recomiendo cien por ciento",positivo
"calidad premium, recomendado totalmente",positivo
"funcionalmente está bien, sin más",neutro
aceptable por el precio que pagué,neutro
todo dentro de lo normal,neutro
"es lo que se esperaba, ni más ni menos",neutro
llegó roto y el vendedor no responde,negativo
"lo amo, lo compraré de nuevo sin dudarlo",positivo
"promedio, nada destacable",neutro
"muy mala atención, prepotentes y poco profesionales",negativo
"calidad penosa, no vale ni un peso",negativo
"producto correcto, cumple lo básico",neutro
"esta bien, dentro de lo esperado",neutro
"lo amo, lo compraré de nuevo sin dudarlo",positivo
"muy mala atención, prepotentes y poco profesionales",negativo
la mejor compra que he hecho este año,positivo
"muy malo, exijo reembolso",negativo
el servicio fue impecable y la atención muy amable,positivo
"estafa total, jamás llegó el producto",negativo
"la peor compra que he hecho, devuelvan mi plata",negativo
"atención al cliente excepcional, resolvieron todo",positivo
"excelente producto, muy recomendado",positivo
"normal, hace lo que tiene que hacer",neutro
"calidad premium, recomendado totalmente",positivo
"muy contento con el resultado, gracias",positivo
"fantástico, superó todas mis expectativas",positivo
"es lo que se esperaba, ni más ni menos",neutro
la mejor compra que he hecho este año,positivo
"encantada con la compra, muy buen producto",positivo
"no funciona como dice la descripción, falsa publicidad",negativo
"razonable, podría ser mejor o peor",neutro
"no recomiendo para nada, pésima calidad",negativo
aceptable por el precio que pagué,neutro
"funcionalmente está bien, sin más",neutro
"calidad premium, recomendado totalmente",positivo
"rápido, eficiente y como lo describían",positivo
"no recomiendo para nada, pésima calidad",negativo
"el peor servicio que he visto, evítenlo",negativo
"regular, esperaba algo distinto",neutro
"decepcionante en todo sentido, no compren",negativo
"el peor servicio que he visto, evítenlo",negativo
"diseño elegante y funcional, me encanta",positivo
"encantada con la compra, muy buen producto",positivo
"funcional, sin más comentarios",neutro
"producto estándar, sin sorpresas",neutro
el servicio fue impecable y la atención muy amable,positivo
"pésimo producto, no lo recomiendo a nadie",negativo
discreto pero útil,neutro
"estafa total, jamás llegó el producto",negativo
"promedio, nada destacable",neutro
"el peor servicio que he visto, evítenlo",negativo
"calidad penosa, no vale ni un peso",negativo
"estafa total, jamás llegó el producto",negativo
"compra exitosa, todo según lo prometido",positivo
"todo perfecto, lo recomiendo cien por ciento",positivo
"razonable, podría ser mejor o peor",neutro
llegó roto y el vendedor no responde,negativo
lo justo y necesario,neutro
"excelente producto, muy recomendado",positivo
"se rompió en una semana, basura",negativo
"muy contento con el resultado, gracias",positivo
"no funciona como dice la descripción, falsa publicidad",negativo
"uso normal, sin problemas hasta ahora",neutro
"horrible calidad, perdí mi dinero",negativo
